path	category	name	frequency_hz	preset	protocol
BruceRF/Misc/Avtek_Ceiling_Projector/Stop.sub	Misc	Stop	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Misc/Unknown_Open_Sign/Open_sign.sub	Misc	Open_sign	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Misc/Sextoy/Sextoy2.sub	Misc	Sextoy2	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Misc/Sextoy/Sextoy3.sub	Misc	Sextoy3	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Misc/Sextoy/Sextoy1.sub	Misc	Sextoy1	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Misc/Sextoy/Sextoy4.sub	Misc	Sextoy4	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Misc/Sextoy/Sway Vibes 3/Sway_vib_mode.sub	Misc	Sway_vib_mode	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Misc/Sextoy/Sway Vibes 3/Sway_vib_on_off.sub	Misc	Sway_vib_on_off	433920000	FuriHalSubGhzPresetOok650Async	Princeton
BruceRF/Misc/Sextoy/Sinful_Bullet_Vibrator/Sinful_power.sub	Misc	Sinful_power	433920000	FuriHalSubGhzPresetOok270Async	Princeton
BruceRF/Misc/Sextoy/Sinful_Bullet_Vibrator/Sinful_level.sub	Misc	Sinful_level	433920000	FuriHalSubGhzPresetOok270Async	Princeton
BruceRF/Misc/Sextoy/Sexrabbit_Vibrator/Power_Toggle_Long_Press.sub	Misc	Power_Toggle_Long_Press	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Misc/Sextoy/Nu_Sensuelle_Vibrating_Mini-Plug/Bp_07_3.sub	Misc	Bp_07_3	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Misc/Sextoy/Nu_Sensuelle_Vibrating_Mini-Plug/Bp_05_1.sub	Misc	Bp_05_1	433920000	FuriHalSubGhzPresetOok650Async	RAW
BruceRF/Misc/Sextoy/Nu_Sensuelle_Vibrating_Mini-Plug/Bp_01_4.sub	Misc	Bp_01_4	433920000	FuriHalSubGhzPresetOok650Async	RAW
